,type,locality,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
19,BHK2,Dodda Nekkundi,SEMI_FURNISHED,FOUR_WHEELER,1285,3.0,2.0,W,2.0,0.0,BOREWELL,3,0.0,27000.0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,Bengaluru,1,2
20,BHK2,Munekolala,SEMI_FURNISHED,NONE,600,1.0,1.0,E,2.0,2.0,CORPORATION,1,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,1
21,BHK1,Hoodi,NOT_FURNISHED,BOTH,800,1.0,1.0,W,0.0,0.0,CORP_BORE,3,1.0,12000.0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,Bengaluru,0,3
22,BHK3,Garudachara Palya,SEMI_FURNISHED,BOTH,1610,8.0,2.0,E,6.0,2.0,CORP_BORE,3,3.0,36000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,Bengaluru,1,3
23,BHK2,Bommanahalli,SEMI_FURNISHED,TWO_WHEELER,1100,10.0,2.0,N,2.0,1.0,CORP_BORE,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
24,BHK2,Sitaramapalya,SEMI_FURNISHED,BOTH,1200,10.0,2.0,E,2.0,0.0,CORP_BORE,1,0.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
25,BHK2,Kaggadasapura,SEMI_FURNISHED,BOTH,800,3.0,2.0,E,1.0,3.0,CORP_BORE,3,0.0,16000.0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,Bengaluru,1,3
26,BHK2,Vannarpetai,SEMI_FURNISHED,NONE,800,12.0,1.0,E,2.0,0.0,CORPORATION,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,1
27,BHK2,Varthur,SEMI_FURNISHED,BOTH,1484,1.0,2.0,N,1.0,1.0,CORPORATION,3,1.0,22000.0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,Bengaluru,1,3
28,BHK2,Kaveri Layout,SEMI_FURNISHED,NONE,500,10.0,1.0,N,2.0,2.0,CORP_BORE,1,0.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
29,BHK2,Dodda Nekkundi,SEMI_FURNISHED,BOTH,1200,5.0,2.0,W,2.0,2.0,CORPORATION,3,1.0,19500.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,Bengaluru,1,3
30,BHK2,Hagadur,FULLY_FURNISHED,BOTH,1300,8.0,2.0,S,2.0,1.0,CORPORATION,2,2.0,25000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,2,3
31,RK1,Hoysala Nagara,SEMI_FURNISHED,TWO_WHEELER,250,10.0,1.0,E,1.0,0.0,CORPORATION,1,0.0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
32,BHK3,Garudachara Palya,FULLY_FURNISHED,BOTH,1860,5.0,3.0,N,5.0,14.0,CORPORATION,3,3.0,48000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Bengaluru,2,3
33,RK1,Dodda Nekkundi,SEMI_FURNISHED,TWO_WHEELER,250,0.0,1.0,N,1.0,3.0,CORPORATION,1,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
34,BHK2,Hosa Tippasandra,SEMI_FURNISHED,BOTH,972,0.0,2.0,E,5.0,2.0,CORPORATION,3,3.0,31000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bengaluru,1,3
35,BHK3,Sarakki,SEMI_FURNISHED,BOTH,1050,15.0,2.0,E,4.0,1.0,BOREWELL,3,1.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Bengaluru,1,3
36,BHK2,HAL Airport Ward,SEMI_FURNISHED,TWO_WHEELER,850,1.0,2.0,N,2.0,2.0,CORPORATION,1,1.0,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Bengaluru,1,0
37,BHK2,Byrasandra Ward,SEMI_FURNISHED,TWO_WHEELER,1050,10.0,1.0,E,3.0,2.0,CORP_BORE,1,0.0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
38,BHK2,AGS Layout,SEMI_FURNISHED,BOTH,1175,0.0,2.0,N,3.0,4.0,CORP_BORE,3,2.0,20000.0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,Bengaluru,1,3
39,BHK3,Ambalipura,FULLY_FURNISHED,BOTH,1876,1.0,3.0,N,5.0,3.0,CORPORATION,3,4.0,50000.0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,Bengaluru,2,3
40,BHK2,Hosa Tippasandra,SEMI_FURNISHED,BOTH,750,5.0,1.0,E,2.0,0.0,CORPORATION,2,0.0,12000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
41,BHK2,Lakkasandra,SEMI_FURNISHED,TWO_WHEELER,900,12.0,1.0,N,2.0,2.0,CORP_BORE,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Bengaluru,1,0
42,BHK3,Pattabhiram Nagar,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,N,4.0,1.0,BOREWELL,1,1.0,30000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
43,BHK2,Hanumantha Nagar,SEMI_FURNISHED,BOTH,900,7.0,2.0,S,3.0,0.0,CORPORATION,1,0.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Bengaluru,1,3
44,BHK2,Basaveshwaranagar,SEMI_FURNISHED,TWO_WHEELER,1100,9.0,2.0,N,5.0,3.0,CORP_BORE,1,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bengaluru,1,0
45,BHK2,Bellanduru,SEMI_FURNISHED,FOUR_WHEELER,1230,0.0,2.0,E,2.0,2.0,BOREWELL,3,2.0,21000.0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,Bengaluru,1,2
46,BHK3,Kadugodi,SEMI_FURNISHED,BOTH,1435,0.0,2.0,E,4.0,0.0,CORPORATION,3,3.0,20000.0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,Bengaluru,1,3
47,BHK1,BTM Layout,NOT_FURNISHED,TWO_WHEELER,400,10.0,1.0,E,0.0,0.0,CORP_BORE,1,0.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,0,0
48,BHK2,Chikkalasandra,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,E,2.0,1.0,CORP_BORE,1,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
49,BHK3,Yelchenahalli Ward,SEMI_FURNISHED,BOTH,1360,2.0,3.0,E,3.0,2.0,CORP_BORE,3,1.0,17000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,3
50,RK1,Jogupalya,SEMI_FURNISHED,TWO_WHEELER,120,5.0,1.0,S,1.0,3.0,CORP_BORE,1,0.0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bengaluru,1,0
51,BHK1,Wilson Garden,SEMI_FURNISHED,TWO_WHEELER,650,10.0,1.0,E,1.0,1.0,CORP_BORE,1,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bengaluru,1,0
52,BHK2,Rajarajeshwari Nagar,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,N,2.0,1.0,CORP_BORE,1,0.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
53,BHK2,Ejipura,SEMI_FURNISHED,BOTH,1172,16.0,2.0,E,2.0,0.0,CORP_BORE,3,1.0,35000.0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,Bengaluru,1,3
54,BHK1,Telecom Layout,SEMI_FURNISHED,TWO_WHEELER,225,8.0,1.0,E,1.0,2.0,CORPORATION,1,1.0,8400.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Bengaluru,1,0
55,BHK2,Hagadur,SEMI_FURNISHED,BOTH,1100,4.0,2.0,N,2.0,4.0,BOREWELL,3,2.0,17000.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Bengaluru,1,3
56,BHK2,GM Palya,SEMI_FURNISHED,TWO_WHEELER,1200,4.0,2.0,N,2.0,0.0,CORPORATION,2,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
57,BHK3,Kadugodi,SEMI_FURNISHED,TWO_WHEELER,1500,3.0,3.0,E,4.0,1.0,CORP_BORE,1,2.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Bengaluru,1,0
58,BHK2,BTM Layout,FULLY_FURNISHED,BOTH,1250,5.0,2.0,E,3.0,1.0,CORP_BORE,3,1.0,21000.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Bengaluru,2,3
59,BHK2,Vignananagar,SEMI_FURNISHED,BOTH,1440,7.0,2.0,W,6.0,5.0,CORP_BORE,3,3.0,24000.0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,Bengaluru,1,3
60,BHK2,Hosa Tippasandra,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,E,1.0,2.0,CORPORATION,1,1.0,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
61,BHK2,Bellanduru,SEMI_FURNISHED,BOTH,1465,8.0,2.0,E,2.0,5.0,BOREWELL,3,2.0,32000.0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,Bengaluru,1,3
62,BHK2,Vasanth Nagar,FULLY_FURNISHED,TWO_WHEELER,900,5.0,2.0,N,3.0,2.0,CORP_BORE,3,2.0,22000.0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,Bengaluru,2,0
63,BHK3,Sarvagna Nagar,NOT_FURNISHED,BOTH,1500,1.0,3.0,S,0.0,2.0,CORPORATION,3,4.0,30000.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,0,3
64,BHK3,Dodda Nekkundi,SEMI_FURNISHED,BOTH,2250,12.0,2.0,E,2.0,5.0,CORP_BORE,1,3.0,42000.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Bengaluru,1,3
65,BHK3,Banashankari,SEMI_FURNISHED,BOTH,1900,10.0,2.0,E,2.0,0.0,CORP_BORE,1,2.0,33000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bengaluru,1,3
66,BHK2,JP Nagar,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,E,1.0,2.0,CORPORATION,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
67,BHK2,Kadugodi,SEMI_FURNISHED,BOTH,1348,2.0,2.0,E,2.0,1.0,BOREWELL,3,2.0,26000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Bengaluru,1,3
68,BHK1,Kodihalli,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,W,1.0,0.0,CORP_BORE,1,2.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
69,RK1,Kodihalli,FULLY_FURNISHED,NONE,200,1.0,1.0,W,1.0,4.0,BOREWELL,3,1.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,2,1
70,BHK1,HAL Airport Ward,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,E,1.0,1.0,CORPORATION,1,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
71,BHK1,Marathahalli,SEMI_FURNISHED,TWO_WHEELER,400,0.0,1.0,N,1.0,2.0,CORP_BORE,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
72,BHK1,Marenahalli,SEMI_FURNISHED,TWO_WHEELER,600,1.0,1.0,E,1.0,1.0,CORPORATION,2,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
73,BHK1,Haralur,SEMI_FURNISHED,TWO_WHEELER,800,3.0,1.0,N,3.0,2.0,CORP_BORE,1,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
74,BHK2,Mangammanapalya,SEMI_FURNISHED,BOTH,1150,1.0,2.0,E,1.0,0.0,BOREWELL,1,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,3
75,BHK2,Hagadur,FULLY_FURNISHED,BOTH,1194,1.0,2.0,E,3.0,4.0,CORP_BORE,3,2.0,26000.0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,Bengaluru,2,3
76,BHK2,Varthur,SEMI_FURNISHED,BOTH,1500,5.0,2.0,E,1.0,2.0,CORPORATION,1,4.0,16000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bengaluru,1,3
77,BHK3,Others,SEMI_FURNISHED,BOTH,1590,1.0,3.0,W,10.0,4.0,CORP_BORE,3,1.0,40000.0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,Bengaluru,1,3
78,BHK1,Koramangala,NOT_FURNISHED,TWO_WHEELER,450,5.0,1.0,E,1.0,0.0,CORPORATION,1,0.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,0,0
79,BHK3,Kaggadasapura,FULLY_FURNISHED,BOTH,1431,5.0,2.0,N,2.0,9.0,CORP_BORE,3,2.0,38000.0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,Bengaluru,2,3
80,BHK1,HSR Layout,SEMI_FURNISHED,TWO_WHEELER,448,5.0,1.0,N,1.0,3.0,CORPORATION,1,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
81,BHK2,Rajarajeshwari Nagar,SEMI_FURNISHED,FOUR_WHEELER,1250,5.0,2.0,N,2.0,1.0,CORPORATION,1,1.0,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bengaluru,1,2
82,BHK2,Cleveland Town,SEMI_FURNISHED,TWO_WHEELER,1250,20.0,2.0,W,2.0,1.0,CORP_BORE,3,3.0,23000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Bengaluru,1,0
83,BHK2,Jayanagar,SEMI_FURNISHED,BOTH,750,25.0,2.0,N,4.0,0.0,CORPORATION,3,1.0,23000.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,Bengaluru,1,3
84,BHK2,Domlur,SEMI_FURNISHED,TWO_WHEELER,800,5.0,2.0,E,4.0,1.0,CORPORATION,1,1.0,20000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
85,BHK1,Pattanagere,SEMI_FURNISHED,BOTH,550,0.0,1.0,E,1.0,4.0,CORP_BORE,1,1.0,9000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
86,BHK3,HSR Layout,SEMI_FURNISHED,BOTH,2100,8.0,3.0,E,3.0,1.0,CORP_BORE,1,1.0,40000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,3
87,BHK1,Gayatri Nagar,SEMI_FURNISHED,NONE,450,0.0,1.0,E,1.0,0.0,CORPORATION,2,1.0,8000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Bengaluru,1,1
88,BHK2,AGS Layout,SEMI_FURNISHED,TWO_WHEELER,1500,16.0,2.0,E,1.0,1.0,CORP_BORE,1,0.0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
89,BHK2,Dasarahalli,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,E,2.0,2.0,CORP_BORE,1,1.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
90,BHK1,Hombegowda Nagara,SEMI_FURNISHED,NONE,700,1.0,1.0,S,1.0,2.0,CORP_BORE,1,1.0,12000.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,Bengaluru,1,1
91,BHK1,Kadugodi,SEMI_FURNISHED,FOUR_WHEELER,750,0.0,1.0,N,1.0,0.0,CORP_BORE,2,1.0,8000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Bengaluru,1,2
92,BHK2,Hagadur,SEMI_FURNISHED,FOUR_WHEELER,1175,1.0,2.0,N,2.0,3.0,BOREWELL,3,1.0,17000.0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,Bengaluru,1,2
93,BHK2,Bilekahalli,SEMI_FURNISHED,BOTH,1251,3.0,2.0,E,2.0,3.0,BOREWELL,3,3.0,20000.0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,Bengaluru,1,3
94,BHK2,Jayanagar,SEMI_FURNISHED,TWO_WHEELER,1000,1.0,2.0,E,2.0,1.0,CORPORATION,3,1.0,18000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bengaluru,1,0
95,BHK2,Hosa Tippasandra,NOT_FURNISHED,TWO_WHEELER,600,15.0,2.0,S,0.0,0.0,CORP_BORE,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,0,0
96,BHK2,ISRO Layout,NOT_FURNISHED,TWO_WHEELER,1000,15.0,2.0,E,0.0,2.0,CORPORATION,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,0,0
97,BHK3,Kaadubeesanahalli,SEMI_FURNISHED,BOTH,1800,11.0,3.0,E,3.0,0.0,CORP_BORE,3,3.0,27500.0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,Bengaluru,1,3
98,BHK1,Adugodi,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,E,1.0,2.0,CORPORATION,1,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
99,BHK2,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,780,10.0,2.0,W,2.0,1.0,CORPORATION,2,0.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
100,BHK2,Katriguppe,SEMI_FURNISHED,BOTH,900,15.0,2.0,W,2.0,0.0,CORP_BORE,1,0.0,16000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,3
101,BHK3,Bellanduru,SEMI_FURNISHED,BOTH,1600,6.0,3.0,S,3.0,0.0,CORP_BORE,3,1.0,45000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bengaluru,1,3
102,BHK3,C V Raman Nagar,SEMI_FURNISHED,BOTH,1600,10.0,2.0,W,3.0,2.0,CORP_BORE,3,2.0,30000.0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,Bengaluru,1,3
103,BHK2,Koramangala,SEMI_FURNISHED,NONE,900,15.0,1.0,N,0.0,0.0,CORP_BORE,1,0.0,25000.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,1
104,BHK2,Bellanduru,SEMI_FURNISHED,BOTH,1300,0.0,2.0,N,2.0,14.0,CORP_BORE,3,1.0,32000.0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,Bengaluru,1,3
105,BHK2,Hosa Tippasandra,SEMI_FURNISHED,TWO_WHEELER,1150,23.0,2.0,N,2.0,1.0,CORPORATION,1,0.0,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
106,BHK1,AGS Layout,SEMI_FURNISHED,BOTH,600,4.0,1.0,N,1.0,1.0,CORPORATION,2,0.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,3
107,BHK2,Thubarahalli,SEMI_FURNISHED,BOTH,1400,2.0,2.0,E,2.0,4.0,BOREWELL,3,0.0,21000.0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,Bengaluru,1,3
108,BHK3,Ambalipura,SEMI_FURNISHED,BOTH,1600,6.0,3.0,E,3.0,2.0,CORPORATION,3,2.0,24000.0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,Bengaluru,1,3
109,BHK2,Mahadevapura,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,N,2.0,0.0,CORPORATION,1,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Bengaluru,1,0
110,BHK2,Rajarajeshwari Nagar,SEMI_FURNISHED,NONE,1200,4.0,2.0,E,2.0,1.0,CORPORATION,1,0.0,11000.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Bengaluru,1,1
111,BHK3,Dodda Nekkundi,SEMI_FURNISHED,BOTH,1251,3.0,2.0,N,2.0,6.0,BOREWELL,3,1.0,25000.0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,Bengaluru,1,3
112,BHK2,Hagadur,SEMI_FURNISHED,FOUR_WHEELER,1200,0.0,2.0,E,3.0,2.0,CORP_BORE,3,2.0,20000.0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,Bengaluru,1,2
113,BHK2,Konena Agrahara Ward,FULLY_FURNISHED,BOTH,1200,5.0,2.0,E,7.0,3.0,CORP_BORE,3,1.0,30000.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,Bengaluru,2,3
114,BHK4,Katriguppe,SEMI_FURNISHED,BOTH,2400,22.0,4.0,W,3.0,0.0,CORP_BORE,1,0.0,32000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Bengaluru,1,3
