,type,locality,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,furnishing_encoded,parking_encoded
27,2,HSR Layout,448,5,1,1,1,3,1,1,0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,3,Rajarajeshwari Nagar,1250,5,2,1,2,1,1,1,1,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
29,2,Pattanagere,550,0,1,2,1,4,2,1,1,9000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
30,4,HSR Layout,2100,8,3,2,3,1,2,1,1,40000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
31,3,AGS Layout,1500,16,2,2,1,1,2,1,0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2,Hombegowda Nagara,700,1,1,3,1,2,2,1,1,12000.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
33,3,Hosa Tippasandra,600,15,2,3,0,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,ISRO Layout,1000,15,2,2,0,2,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,2,Adugodi,500,4,1,2,1,2,1,1,1,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,3,Katriguppe,900,15,2,4,2,0,2,1,0,16000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
37,3,Koramangala,900,15,1,1,0,0,2,1,0,25000.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
38,3,Hosa Tippasandra,1150,23,2,1,2,1,1,1,0,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,3,Mahadevapura,900,5,2,1,2,0,1,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
40,3,Rajarajeshwari Nagar,1200,4,2,2,2,1,1,1,0,11000.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1
41,3,Vannarpetai,750,8,1,1,2,1,2,1,1,11000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
42,3,Haralur,1100,3,2,2,2,1,3,1,1,16500.0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,3
43,5,Cox Town,2000,15,2,2,3,1,2,1,2,26000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,3,Avalahalli,600,6,1,2,2,0,2,1,0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45,3,Karisandra Ward,1500,5,1,1,2,3,3,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,3,Bhuvaneshwari Nagar,950,10,1,2,2,2,2,1,1,12000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,3,Others,700,1,1,2,0,2,1,1,1,12000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,3,HAL Airport Ward,1200,0,2,1,2,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
49,3,Hampi Nagar,750,15,1,1,1,1,1,1,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,3,Bellanduru,800,10,2,2,2,2,3,1,2,16500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
51,3,Hagadur,1000,5,2,2,2,0,1,1,0,14000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,3,Bellanduru,750,0,2,2,2,1,3,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
53,2,JP Nagar,600,4,1,1,0,2,1,1,0,12500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
54,4,Basavanagudi,1000,5,2,1,2,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
55,1,HSR Layout,300,0,1,2,1,3,3,1,0,8000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
56,2,Suddagunte Palya Ward,450,9,1,2,0,1,1,1,1,12000.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
57,4,Shanthi Nagar,1000,7,1,1,3,1,2,1,1,20000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
58,3,Vignananagar,975,3,2,2,2,1,1,1,2,16000.0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,3
59,3,BTM Layout,600,0,2,1,2,1,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,2,Madiwala,700,2,1,2,1,0,2,1,0,10500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
61,3,Yelchenahalli Ward,600,5,1,1,2,1,2,1,1,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
62,3,Narayanapura,1000,8,2,2,2,0,1,1,1,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
63,4,Ittamadu,1350,9,3,1,3,2,2,1,0,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
64,3,Koramangala,1100,1,2,2,0,4,1,1,1,30000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
65,2,Dodda Nekkundi,350,5,1,1,1,1,1,1,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
66,3,Others,600,20,2,1,2,1,2,1,0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
67,3,JP Nagar,1100,15,2,4,3,1,1,1,1,17500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
68,3,HAL Airport Ward,1300,4,2,4,2,0,2,1,2,17000.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
69,2,Haralur,650,5,1,1,1,0,3,1,0,11000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,3,BTM Layout,800,20,2,4,2,0,2,1,0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,3,Bommanahalli,800,0,2,2,0,0,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,Rajarajeshwari Nagar,800,10,1,2,2,0,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
73,2,Maruthi Seva Nagar,500,1,1,1,0,1,2,1,1,11000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
74,2,Dodda Nekkundi,1200,0,1,1,1,1,2,1,1,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3
75,3,JP Nagar,500,5,1,4,0,1,1,1,1,10000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,3,HSR Layout,950,10,2,2,2,0,2,1,0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
77,3,Bhuvaneshwari Nagar,1000,12,2,2,3,1,2,1,1,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
78,2,Munekolala,600,5,1,3,1,2,2,1,0,10500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
79,3,Yelchenahalli Ward,600,9,3,1,3,0,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
80,3,Yediyur Ward,600,6,1,2,1,2,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,3,Ejipura,800,15,1,2,2,0,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
82,3,AGS Layout,700,1,2,1,1,1,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
83,4,Banashankari,1200,0,2,1,3,3,2,1,1,25000.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,3
84,3,Kumaraswamy Layout,675,4,1,3,2,1,2,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,3,Konena Agrahara Ward,600,4,1,2,2,1,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
86,3,Bhuvaneshwari Nagar,1200,5,1,2,2,1,3,1,0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
87,3,Mangammanapalya,700,0,2,2,2,2,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
88,3,Dodda Nekkundi,1100,0,2,1,2,1,1,1,1,18500.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,3,Madiwala,1100,9,2,1,3,0,1,1,0,19500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,3,Vijayanagar,500,10,1,2,0,0,1,1,0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,Madiwala,600,0,2,3,2,3,2,1,0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
92,3,HSR Layout,950,4,2,2,2,1,2,1,1,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
93,3,Jaraganahalli Ward,750,3,1,1,0,1,1,1,1,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,2,Hoysala Nagara,300,10,1,3,0,1,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3,BCC Layout,950,0,2,1,2,2,2,1,1,18000.0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,2
96,3,Puttenahalli,1400,0,2,1,2,2,2,1,1,30000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
97,1,Koramangala,200,6,1,1,1,2,1,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
98,3,Bellanduru,1000,4,2,2,2,0,3,1,0,16500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
99,3,Jnana Bharathi,1200,0,2,2,2,1,2,1,2,20000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
100,4,Katriguppe,1000,0,2,2,3,1,2,1,1,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101,2,Jayanagar,450,8,1,1,1,2,2,1,1,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
102,3,Ejipura,850,3,2,1,2,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
103,3,Jakkasandra,1200,10,2,3,3,0,2,1,0,18000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
104,4,Gurappanapalya Ward,1200,4,3,1,2,1,3,1,1,27000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2
105,3,C V Raman Nagar,800,1,2,2,1,1,2,1,1,17500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106,3,GM Palya,1250,8,2,2,3,0,2,1,1,18500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
107,3,HSR Layout,950,1,2,1,2,2,1,1,0,24000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
108,3,Lakkasandra,1200,10,2,1,2,1,1,1,1,25000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,3
109,3,Rajarajeshwari Nagar,1000,0,2,2,2,0,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,3,Jayanagar,600,20,1,2,3,0,2,1,0,17000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,2,Madiwala,600,15,1,1,0,2,2,1,1,11500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
112,2,Jeevanbhima Nagar,200,0,1,4,1,2,2,1,1,12000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
113,3,Kumaraswamy Layout,600,0,1,4,2,1,2,1,0,11500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
114,2,Srinagar,600,1,1,1,2,3,2,1,1,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
115,3,Devarabeesanahalli,700,1,1,2,2,1,3,1,1,15000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
116,3,Hagadur,950,5,2,1,1,2,2,1,1,17000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
117,3,BTM Layout,1200,7,2,2,2,3,2,1,0,19000.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
118,2,Puttenahalli,700,5,2,2,1,1,2,1,0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
119,4,Rajarajeshwari Nagar,1650,10,3,2,3,0,2,1,0,22000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
120,1,Koramangala,180,12,1,1,3,1,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0
121,3,BTM Layout,600,10,2,2,2,3,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,3,Basavanagudi,1600,8,2,1,3,0,2,1,1,22000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,2,Jakkasandra,400,0,1,2,1,2,2,1,0,11000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
124,3,Sarvagna Nagar,950,10,2,1,2,0,2,1,0,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
125,3,Byrasandra Ward,1200,3,2,3,2,2,2,1,1,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,4,Deepanjali Nagar,1200,10,3,2,3,0,2,1,2,20000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
127,1,Mahadevapura,350,1,1,2,1,3,1,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
128,3,Banashankari,700,5,2,2,2,2,1,1,0,11000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3
129,2,Bhoganahalli,600,3,1,2,1,1,3,1,2,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
130,2,Deepanjali Nagar,600,1,2,1,2,2,2,1,2,8500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
131,2,VV Puram,480,2,1,2,1,3,1,1,1,9300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
132,3,Pantarapalya,1100,12,2,2,2,1,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,2,Halasuru,450,7,1,1,1,3,2,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,3,Garudachara Palya,1100,2,2,2,3,2,1,1,1,18000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
135,3,Jakkasandra,650,0,1,2,1,1,1,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,4,Vannarpetai,1050,15,2,4,3,1,1,1,1,17000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,3,Lakkasandra,900,0,2,2,2,3,2,1,1,15000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
138,2,Jakkasandra,500,4,1,2,1,3,1,1,1,11000.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
139,3,Others,750,18,1,4,1,1,2,1,1,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,Narayanapura,540,8,1,2,1,0,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
141,2,Yelchenahalli Ward,400,0,1,2,1,0,2,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
142,2,Rajajinagar,500,10,1,3,1,1,1,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,3,Padmanabha Nagar,1000,4,2,1,2,0,2,1,0,12000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
144,4,ISRO Layout,1400,13,3,4,3,0,2,1,1,22000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
145,3,Bommanahalli,1000,5,1,1,2,1,1,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
146,3,Katriguppe,700,18,2,1,0,0,1,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,3,Chikkalasandra,850,10,2,1,2,0,1,1,1,10000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
148,3,Dodda Nekkundi,750,5,2,2,2,2,2,1,1,20000.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
149,3,Jayanagar,650,5,1,2,1,1,2,1,0,11500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,1,Dodda Nekkundi,350,4,1,1,1,3,2,1,1,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
151,3,Suddagunte Palya Ward,900,8,2,1,2,1,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,3,HSR Layout,850,2,2,1,2,1,2,1,0,13000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
153,2,Rajarajeshwari Nagar,450,1,1,1,1,0,2,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
154,2,Katriguppe,400,9,1,3,1,1,1,1,0,8000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
155,4,HSR Layout,1200,2,2,1,3,0,1,1,1,20000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
156,1,Domlur,150,22,1,1,1,2,1,1,1,9500.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
157,3,Pattabhiram Nagar,1220,0,2,1,2,1,1,1,1,30000.0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3
158,3,Yelchenahalli Ward,600,3,2,1,2,3,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,3,Basaveshwaranagar,800,8,1,4,2,1,2,1,1,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,3,Kamakshi Palya,800,0,2,2,2,0,2,1,2,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
161,3,Others,900,4,2,1,2,1,3,1,1,8000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
162,1,HSR Layout,210,3,1,1,1,3,2,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
163,3,Agaram,900,1,1,2,2,2,1,1,1,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,2,Madiwala,400,9,1,1,1,1,1,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,3,Vasanthpura Ward,1000,2,2,1,0,2,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,3,Narayanapura,1200,10,2,2,1,0,1,1,0,11000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
167,3,Koramangala,800,20,1,2,2,0,1,1,0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
168,3,HSR Layout,850,2,2,2,1,0,1,1,0,25000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
169,2,Nayandahalli Ward,700,0,1,1,2,0,2,1,0,10000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
170,3,Ittamadu,1000,5,2,2,2,2,2,1,1,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
171,3,HSR Layout,1050,10,2,2,2,2,2,1,2,26000.0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
172,2,Puttenahalli,650,10,1,2,1,1,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,2,Agaram,600,8,1,1,0,2,2,1,1,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
174,3,BTM Layout,900,5,1,3,2,2,2,1,1,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,2,Bhuvaneshwari Nagar,600,12,1,1,1,1,2,1,0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
176,2,BTM Layout,450,7,1,1,1,1,1,1,0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
177,4,Vignananagar,1200,6,2,2,3,1,2,1,2,17500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
178,3,ISRO Layout,800,10,2,1,2,0,1,1,0,13500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
179,3,HSR Layout,900,8,2,1,3,1,1,1,1,22000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
180,3,Ramagondanahalli,870,0,1,2,1,2,1,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
