type,locality,gym,lift,swimming_pool,negotiable,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,PARK,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
2,Hoodi,0,0,0,1,800,1.0,1.0,4,0.0,0.0,4.0,CORP_BORE,AP,1.0,12000.0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,Bengaluru,0,3
4,Garudachara Palya,1,1,1,1,1610,8.0,2.0,2,6.0,2.0,19.0,CORP_BORE,AP,3.0,36000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,Bengaluru,1,3
3,Bommanahalli,0,0,0,1,1100,10.0,2.0,1,2.0,1.0,2.0,CORP_BORE,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Bengaluru,1,1
3,Sitaramapalya,0,0,0,1,1200,10.0,2.0,2,2.0,0.0,1.0,CORP_BORE,IF,0.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
3,Kaggadasapura,0,1,0,0,800,3.0,2.0,2,1.0,3.0,3.0,CORP_BORE,AP,0.0,16000.0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,Bengaluru,1,3
3,Vannarpetai,0,0,0,1,800,12.0,1.0,2,2.0,0.0,0.0,CORPORATION,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,0
3,Varthur,1,1,1,1,1484,1.0,2.0,1,1.0,1.0,4.0,CORPORATION,AP,1.0,22000.0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,Bengaluru,1,3
3,Kaveri Layout,0,0,0,1,500,10.0,1.0,1,2.0,2.0,2.0,CORP_BORE,IF,0.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,Dodda Nekkundi,0,1,0,0,1200,5.0,2.0,4,2.0,2.0,4.0,CORPORATION,AP,1.0,19500.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,Bengaluru,1,3
3,Hagadur,0,1,0,0,1300,8.0,2.0,3,2.0,1.0,1.0,CORPORATION,IH,2.0,25000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,2,3
1,Hoysala Nagara,0,0,0,1,250,10.0,1.0,2,1.0,0.0,2.0,CORPORATION,IF,0.0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
4,Garudachara Palya,1,1,1,1,1860,5.0,3.0,1,5.0,14.0,20.0,CORPORATION,AP,3.0,48000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Bengaluru,2,3
1,Dodda Nekkundi,0,0,0,1,250,0.0,1.0,1,1.0,3.0,3.0,CORPORATION,IF,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Hosa Tippasandra,0,0,0,0,972,0.0,2.0,2,5.0,2.0,3.0,CORPORATION,AP,3.0,31000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bengaluru,1,3
4,Sarakki,0,0,0,1,1050,15.0,2.0,2,4.0,1.0,2.0,BOREWELL,AP,1.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Bengaluru,1,3
3,HAL Airport Ward,0,0,0,0,850,1.0,2.0,1,2.0,2.0,2.0,CORPORATION,IF,1.0,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Bengaluru,1,1
3,Byrasandra Ward,0,0,0,1,1050,10.0,1.0,2,3.0,2.0,3.0,CORP_BORE,IF,0.0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Bengaluru,1,1
3,AGS Layout,1,1,1,1,1175,0.0,2.0,1,3.0,4.0,5.0,CORP_BORE,AP,2.0,20000.0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,Bengaluru,1,3
4,Ambalipura,1,1,1,1,1876,1.0,3.0,1,5.0,3.0,9.0,CORPORATION,AP,4.0,50000.0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,Bengaluru,2,3
3,Hosa Tippasandra,0,0,0,1,750,5.0,1.0,2,2.0,0.0,0.0,CORPORATION,IH,0.0,12000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
3,Lakkasandra,0,0,0,1,900,12.0,1.0,1,2.0,2.0,2.0,CORP_BORE,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Bengaluru,1,1
4,Pattabhiram Nagar,0,0,0,0,1200,10.0,2.0,1,4.0,1.0,1.0,BOREWELL,IF,1.0,30000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Hanumantha Nagar,0,0,0,1,900,7.0,2.0,3,3.0,0.0,1.0,CORPORATION,IF,0.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Bengaluru,1,3
3,Basaveshwaranagar,0,0,0,1,1100,9.0,2.0,1,5.0,3.0,3.0,CORP_BORE,IF,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,1
3,Bellanduru,0,1,0,0,1230,0.0,2.0,2,2.0,2.0,3.0,BOREWELL,AP,2.0,21000.0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,Bengaluru,1,2
4,Kadugodi,1,1,1,1,1435,0.0,2.0,2,4.0,0.0,4.0,CORPORATION,AP,3.0,20000.0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,Bengaluru,1,3
2,BTM Layout,0,0,0,0,400,10.0,1.0,2,0.0,0.0,1.0,CORP_BORE,IF,0.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,0,1
3,Chikkalasandra,0,0,0,1,800,8.0,2.0,2,2.0,1.0,2.0,CORP_BORE,IF,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Yelchenahalli Ward,0,0,0,1,1360,2.0,3.0,2,3.0,2.0,3.0,CORP_BORE,AP,1.0,17000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
1,Jogupalya,0,0,0,0,120,5.0,1.0,3,1.0,3.0,3.0,CORP_BORE,IF,0.0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bengaluru,1,1
2,Wilson Garden,0,0,0,0,650,10.0,1.0,2,1.0,1.0,3.0,CORP_BORE,IF,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bengaluru,1,1
3,Rajarajeshwari Nagar,0,0,0,1,900,5.0,2.0,1,2.0,1.0,3.0,CORP_BORE,IF,0.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Ejipura,1,1,0,1,1172,16.0,2.0,2,2.0,0.0,4.0,CORP_BORE,AP,1.0,35000.0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,Bengaluru,1,3
2,Telecom Layout,0,0,0,1,225,8.0,1.0,2,1.0,2.0,2.0,CORPORATION,IF,1.0,8400.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Hagadur,1,1,0,0,1100,4.0,2.0,1,2.0,4.0,4.0,BOREWELL,AP,2.0,17000.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,Bengaluru,1,3
3,GM Palya,0,0,0,1,1200,4.0,2.0,1,2.0,0.0,0.0,CORPORATION,IH,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Kadugodi,0,0,0,1,1500,3.0,3.0,2,4.0,1.0,2.0,CORP_BORE,IF,2.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Bengaluru,1,1
3,BTM Layout,0,1,0,1,1250,5.0,2.0,2,3.0,1.0,4.0,CORP_BORE,AP,1.0,21000.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,Bengaluru,2,3
3,Vignananagar,0,1,0,1,1440,7.0,2.0,4,6.0,5.0,5.0,CORP_BORE,AP,3.0,24000.0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,Bengaluru,1,3
3,Hosa Tippasandra,0,0,0,1,1000,5.0,2.0,2,1.0,2.0,2.0,CORPORATION,IF,1.0,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Bellanduru,1,1,1,1,1465,8.0,2.0,2,2.0,5.0,9.0,BOREWELL,AP,2.0,32000.0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,Bengaluru,1,3
3,Vasanth Nagar,0,1,0,0,900,5.0,2.0,1,3.0,2.0,3.0,CORP_BORE,AP,2.0,22000.0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,Bengaluru,2,1
4,Sarvagna Nagar,0,1,0,1,1500,1.0,3.0,3,0.0,2.0,2.0,CORPORATION,AP,4.0,30000.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Bengaluru,0,3
4,Dodda Nekkundi,0,1,1,0,2250,12.0,2.0,2,2.0,5.0,5.0,CORP_BORE,IF,3.0,42000.0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,Bengaluru,1,3
4,Banashankari,0,0,0,1,1900,10.0,2.0,2,2.0,0.0,2.0,CORP_BORE,IF,2.0,33000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Bengaluru,1,3
3,JP Nagar,0,0,0,1,600,6.0,1.0,2,1.0,2.0,2.0,CORPORATION,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Kadugodi,1,1,1,0,1348,2.0,2.0,2,2.0,1.0,5.0,BOREWELL,AP,2.0,26000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Bengaluru,1,3
2,Kodihalli,0,0,0,0,600,5.0,1.0,4,1.0,0.0,2.0,CORP_BORE,IF,2.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
1,Kodihalli,0,0,0,0,200,1.0,1.0,4,1.0,4.0,5.0,BOREWELL,AP,1.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,2,0
2,HAL Airport Ward,0,0,0,1,500,4.0,1.0,2,1.0,1.0,1.0,CORPORATION,IF,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
2,Marathahalli,0,0,0,0,400,0.0,1.0,1,1.0,2.0,4.0,CORP_BORE,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
2,Marenahalli,0,0,0,1,600,1.0,1.0,2,1.0,1.0,4.0,CORPORATION,IH,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
2,Haralur,0,0,0,0,800,3.0,1.0,1,3.0,2.0,3.0,CORP_BORE,IF,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Mangammanapalya,0,0,0,1,1150,1.0,2.0,2,1.0,0.0,2.0,BOREWELL,IF,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,3
3,Hagadur,1,1,0,1,1194,1.0,2.0,2,3.0,4.0,4.0,CORP_BORE,AP,2.0,26000.0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,Bengaluru,2,3
3,Varthur,0,0,0,1,1500,5.0,2.0,2,1.0,2.0,4.0,CORPORATION,IF,4.0,16000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bengaluru,1,3
4,Others,1,1,1,1,1590,1.0,3.0,4,10.0,4.0,10.0,CORP_BORE,AP,1.0,40000.0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,Bengaluru,1,3
2,Koramangala,0,0,0,1,450,5.0,1.0,2,1.0,0.0,2.0,CORPORATION,IF,0.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,0,1
4,Kaggadasapura,1,1,1,1,1431,5.0,2.0,1,2.0,9.0,14.0,CORP_BORE,AP,2.0,38000.0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,Bengaluru,2,3
2,HSR Layout,0,0,0,1,448,5.0,1.0,1,1.0,3.0,3.0,CORPORATION,IF,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Rajarajeshwari Nagar,0,0,0,1,1250,5.0,2.0,1,2.0,1.0,2.0,CORPORATION,IF,1.0,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,2
3,Cleveland Town,0,1,0,1,1250,20.0,2.0,4,2.0,1.0,5.0,CORP_BORE,AP,3.0,23000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,Bengaluru,1,1
3,Jayanagar,0,0,0,1,750,25.0,2.0,1,4.0,0.0,5.0,CORPORATION,AP,1.0,23000.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,Bengaluru,1,3
3,Domlur,0,0,0,1,800,5.0,2.0,2,4.0,1.0,2.0,CORPORATION,IF,1.0,20000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
2,Pattanagere,0,1,0,0,550,0.0,1.0,2,1.0,4.0,4.0,CORP_BORE,IF,1.0,9000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
4,HSR Layout,0,0,0,1,2100,8.0,3.0,2,3.0,1.0,2.0,CORP_BORE,IF,1.0,40000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,3
2,Gayatri Nagar,0,0,0,1,450,0.0,1.0,2,1.0,0.0,2.0,CORPORATION,IH,1.0,8000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Bengaluru,1,0
3,AGS Layout,0,0,0,1,1500,16.0,2.0,2,1.0,1.0,2.0,CORP_BORE,IF,0.0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Dasarahalli,0,0,0,1,800,8.0,2.0,2,2.0,2.0,2.0,CORP_BORE,IF,1.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
2,Hombegowda Nagara,0,0,0,1,700,1.0,1.0,3,1.0,2.0,2.0,CORP_BORE,IF,1.0,12000.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
2,Kadugodi,0,0,0,1,750,0.0,1.0,1,1.0,0.0,3.0,CORP_BORE,IH,1.0,8000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Bengaluru,1,2
3,Hagadur,1,1,1,1,1175,1.0,2.0,1,2.0,3.0,3.0,BOREWELL,AP,1.0,17000.0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,Bengaluru,1,2
3,Bilekahalli,0,1,1,1,1251,3.0,2.0,2,2.0,3.0,5.0,BOREWELL,AP,3.0,20000.0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,Bengaluru,1,3
3,Jayanagar,0,1,0,0,1000,1.0,2.0,2,2.0,1.0,8.0,CORPORATION,AP,1.0,18000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bengaluru,1,1
3,Hosa Tippasandra,0,0,0,0,600,15.0,2.0,3,0.0,0.0,2.0,CORP_BORE,IF,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,0,1
3,ISRO Layout,0,0,0,1,1000,15.0,2.0,2,0.0,2.0,3.0,CORPORATION,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,0,1
4,Kaadubeesanahalli,1,1,1,0,1800,11.0,3.0,2,3.0,0.0,4.0,CORP_BORE,AP,3.0,27500.0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,Bengaluru,1,3
2,Adugodi,0,0,0,1,500,4.0,1.0,2,1.0,2.0,3.0,CORPORATION,IF,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,BTM Layout,0,0,0,1,780,10.0,2.0,4,2.0,1.0,1.0,CORPORATION,IH,0.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Katriguppe,0,0,0,0,900,15.0,2.0,4,2.0,0.0,1.0,CORP_BORE,IF,0.0,16000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,3
4,Bellanduru,1,1,1,0,1600,6.0,3.0,3,3.0,0.0,4.0,CORP_BORE,AP,1.0,45000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bengaluru,1,3
4,C V Raman Nagar Ward,1,1,1,1,1600,10.0,2.0,4,3.0,2.0,5.0,CORP_BORE,AP,2.0,30000.0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,Bengaluru,1,3
3,Koramangala,0,0,0,1,900,15.0,1.0,1,0.0,0.0,3.0,CORP_BORE,IF,0.0,25000.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
3,Bellanduru,1,1,1,1,1300,0.0,2.0,1,2.0,14.0,18.0,CORP_BORE,AP,1.0,32000.0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,Bengaluru,1,3
3,Hosa Tippasandra,0,0,0,1,1150,23.0,2.0,1,2.0,1.0,3.0,CORPORATION,IF,0.0,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
2,AGS Layout,0,0,0,1,600,4.0,1.0,1,1.0,1.0,4.0,CORPORATION,IH,0.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,3
3,Thubarahalli,1,1,1,0,1400,2.0,2.0,2,2.0,4.0,4.0,BOREWELL,AP,0.0,21000.0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,Bengaluru,1,3
4,Ambalipura,1,1,0,1,1600,6.0,3.0,2,3.0,2.0,5.0,CORPORATION,AP,2.0,24000.0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,Bengaluru,1,3
3,Mahadevapura,0,0,0,1,900,5.0,2.0,1,2.0,0.0,2.0,CORPORATION,IF,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,Bengaluru,1,1
3,Rajarajeshwari Nagar,0,0,0,1,1200,4.0,2.0,2,2.0,1.0,3.0,CORPORATION,IF,0.0,11000.0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,Bengaluru,1,0
4,Dodda Nekkundi,0,0,0,1,1251,3.0,2.0,1,2.0,6.0,6.0,BOREWELL,AP,1.0,25000.0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,Bengaluru,1,3
3,Hagadur,1,1,0,1,1200,0.0,2.0,2,3.0,2.0,6.0,CORP_BORE,AP,2.0,20000.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,Bengaluru,1,2
3,Konena Agrahara Ward,0,1,0,1,1200,5.0,2.0,2,7.0,3.0,4.0,CORP_BORE,AP,1.0,30000.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,Bengaluru,2,3
5,Katriguppe,0,0,0,1,2400,22.0,4.0,4,3.0,0.0,2.0,CORP_BORE,IF,0.0,32000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Bengaluru,1,3
3,Bellanduru,1,1,0,1,1000,5.0,2.0,1,2.0,1.0,4.0,BOREWELL,AP,1.0,21000.0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,Bengaluru,1,3
3,Vannarpetai,0,0,0,1,750,8.0,1.0,1,2.0,1.0,2.0,CORP_BORE,IF,1.0,11000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Bengaluru,1,1
4,Domlur,0,1,0,1,1700,8.0,3.0,3,4.0,1.0,2.0,CORP_BORE,AP,3.0,42000.0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,Bengaluru,1,2
3,Haralur,0,0,0,1,1100,3.0,2.0,2,2.0,1.0,3.0,BOREWELL,IF,1.0,16500.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,Bengaluru,1,3
5,Cox Town,0,0,0,1,2000,15.0,2.0,2,3.0,1.0,2.0,CORP_BORE,IF,2.0,26000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,Avalahalli,0,0,0,1,600,6.0,1.0,2,2.0,0.0,2.0,CORP_BORE,IF,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Karisandra Ward,0,0,0,1,1500,5.0,1.0,1,2.0,3.0,3.0,BOREWELL,IF,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,1
3,Bhuvaneshwari Nagar,0,0,0,0,950,10.0,1.0,2,2.0,2.0,2.0,CORP_BORE,IF,1.0,12000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,0,1
4,Dodda Nekkundi,0,1,0,1,1300,8.0,2.0,1,3.0,4.0,4.0,CORP_BORE,AP,3.0,22000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Bengaluru,1,2
