,Property Type,Property Size,Property Age,Number of Bathrooms,Property Facing Direction,Cupboard Availability,Floor Information,Water Supply Type,Building Type,Number of Balconies,Property Rent,Lift Availability,Gym Availability,Internet Availability,Air Conditioning Availability,Clubhouse Availability,Intercom Availability,Pool Availability,Covered Parking Availability,Fire Safety Measures,Servant Room Availability,Security Measures,Solar Charging Availability,Greenery/Park View,Rainwater Harvesting Availability,Sewage Treatment Plant Availability,Housekeeping Services,Power Backup Availability,Visitor Parking Availability,Furnishing Type (Encoded),Parking Type (Encoded),Property Zone - Bangalore East,Property Zone - Bangalore North,Property Zone - Bangalore South
37,3,1050,10,1,2,3,2,2,1,0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
41,3,900,12,1,1,2,2,2,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
43,3,900,7,2,3,3,0,1,1,0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,0
47,2,400,10,1,2,0,0,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,3,800,8,2,2,2,1,2,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,1,120,5,1,3,1,3,2,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
51,2,650,10,1,2,1,1,2,1,1,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
52,3,900,5,2,1,2,1,2,1,0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,2,225,8,1,2,1,2,1,1,1,8400.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
60,3,1000,5,2,2,1,2,1,1,1,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
65,4,1900,10,2,2,2,0,2,1,2,33000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,1
66,3,600,6,1,2,1,2,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
68,2,600,5,1,4,1,0,2,1,2,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,2,500,4,1,2,1,1,1,1,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
71,2,400,0,1,1,1,2,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
73,2,800,3,1,1,3,2,2,1,1,9500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
74,3,1150,1,2,2,1,0,3,1,0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
78,2,450,5,1,2,1,0,1,1,0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80,2,448,5,1,1,1,3,1,1,0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
81,3,1250,5,2,1,2,1,1,1,1,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1
85,2,550,0,1,2,1,4,2,1,1,9000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
86,4,2100,8,3,2,3,1,2,1,1,40000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
88,3,1500,16,2,2,1,1,2,1,0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
89,3,800,8,2,2,2,2,2,1,1,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
90,2,700,1,1,3,1,2,2,1,1,12000.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
95,3,600,15,2,3,0,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,3,1000,15,2,2,0,2,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
98,2,500,4,1,2,1,2,1,1,1,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100,3,900,15,2,4,2,0,2,1,0,16000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
103,3,900,15,1,1,0,0,2,1,0,25000.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
105,3,1150,23,2,1,2,1,1,1,0,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
109,3,900,5,2,1,2,0,1,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
110,3,1200,4,2,2,2,1,1,1,0,11000.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
116,3,750,8,1,1,2,1,2,1,1,11000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
118,3,1100,3,2,2,2,1,3,1,1,16500.0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,3,0,0,1
119,5,2000,15,2,2,3,1,2,1,2,26000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
120,3,600,6,1,2,2,0,2,1,0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
121,3,1500,5,1,1,2,3,3,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
122,3,950,10,1,2,2,2,2,1,1,12000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,3,700,1,1,2,0,2,1,1,1,12000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
125,3,1200,0,2,1,2,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
128,3,750,15,1,1,1,1,1,1,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
132,3,800,10,2,2,2,2,3,1,2,16500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
133,3,1000,5,2,2,2,0,1,1,0,14000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
138,3,750,0,2,2,2,1,3,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0
139,2,600,4,1,1,0,2,1,1,0,12500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
141,4,1000,5,2,1,2,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
142,1,300,0,1,2,1,3,3,1,0,8000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
143,2,450,9,1,2,0,1,1,1,1,12000.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1
144,4,1000,7,1,1,3,1,2,1,1,20000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
148,3,975,3,2,2,2,1,1,1,2,16000.0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,3,1,0,0
149,3,600,0,2,1,2,1,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
151,2,700,2,1,2,1,0,2,1,0,10500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
152,3,600,5,1,1,2,1,2,1,1,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
155,3,1000,8,2,2,2,0,1,1,1,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
158,4,1350,9,3,1,3,2,2,1,0,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
159,3,1100,1,2,2,0,4,1,1,1,30000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1
163,2,350,5,1,1,1,1,1,1,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
168,3,600,20,2,1,2,1,2,1,0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
170,3,1100,15,2,4,3,1,1,1,1,17500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
173,3,1300,4,2,4,2,0,2,1,2,17000.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0
174,2,650,5,1,1,1,0,3,1,0,11000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
177,3,800,20,2,4,2,0,2,1,0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
179,3,800,0,2,2,0,0,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,3,800,10,1,2,2,0,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
182,2,500,1,1,1,0,1,2,1,1,11000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
190,2,1200,0,1,1,1,1,2,1,1,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0
193,3,500,5,1,4,0,1,1,1,1,10000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
196,3,950,10,2,2,2,0,2,1,0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
198,3,1000,12,2,2,3,1,2,1,1,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
200,2,600,5,1,3,1,2,2,1,0,10500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
201,3,600,9,3,1,3,0,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
204,3,600,6,1,2,1,2,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
207,3,800,15,1,2,2,0,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
208,3,700,1,2,1,1,1,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
210,4,1200,0,2,1,3,3,2,1,1,25000.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,3,0,0,1
211,3,675,4,1,3,2,1,2,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,3,600,4,1,2,2,1,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
215,3,1200,5,1,2,2,1,3,1,0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
216,3,700,0,2,2,2,2,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
226,3,1100,0,2,1,2,1,1,1,1,18500.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
227,3,1100,9,2,1,3,0,1,1,0,19500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
228,3,500,10,1,2,0,0,1,1,0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,3,600,0,2,3,2,3,2,1,0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
231,3,950,4,2,2,2,1,2,1,1,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
232,3,750,3,1,1,0,1,1,1,1,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
234,2,300,10,1,3,0,1,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,3,950,0,2,1,2,2,2,1,1,18000.0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,2,0,1,0
236,3,1400,0,2,1,2,2,2,1,1,30000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,1
238,1,200,6,1,1,1,2,1,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
240,3,1000,4,2,2,2,0,3,1,0,16500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
241,3,1200,0,2,2,2,1,2,1,2,20000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
245,4,1000,0,2,2,3,1,2,1,1,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
246,2,450,8,1,1,1,2,2,1,1,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
247,3,850,3,2,1,2,0,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0
249,3,1200,10,2,3,3,0,2,1,0,18000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
250,4,1200,4,3,1,2,1,3,1,1,27000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1
253,3,800,1,2,2,1,1,2,1,1,17500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
254,3,1250,8,2,2,3,0,2,1,1,18500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
256,3,950,1,2,1,2,2,1,1,0,24000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
258,3,1200,10,2,1,2,1,1,1,1,25000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,3,0,0,1
259,3,1000,0,2,2,2,0,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
260,3,600,20,1,2,3,0,2,1,0,17000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
262,3,1360,2,2,1,0,3,1,1,2,22000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,3,0,1,0
264,2,600,15,1,1,0,2,2,1,1,11500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
266,2,200,0,1,4,1,2,2,1,1,12000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
272,3,600,0,1,4,2,1,2,1,0,11500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
277,2,600,1,1,1,2,3,2,1,1,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
279,3,700,1,1,2,2,1,3,1,1,15000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
282,3,950,5,2,1,1,2,2,1,1,17000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0
285,3,1200,7,2,2,2,3,2,1,0,19000.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
288,3,800,1,2,2,2,1,2,1,1,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,1,0
291,2,700,5,2,2,1,1,2,1,0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
302,4,1650,10,3,2,3,0,2,1,0,22000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
304,1,180,12,1,1,3,1,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1
305,3,600,10,2,2,2,3,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
306,3,1600,8,2,1,3,0,2,1,1,22000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
308,2,400,0,1,2,1,2,2,1,0,11000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
314,3,950,10,2,1,2,0,2,1,0,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0
315,3,1200,3,2,3,2,2,2,1,1,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
317,4,1200,10,3,2,3,0,2,1,2,20000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
318,1,350,1,1,2,1,3,1,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
319,3,700,5,2,2,2,2,1,1,0,11000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1
322,2,600,3,1,2,1,1,3,1,2,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
328,2,600,1,2,1,2,2,2,1,2,8500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,1
329,2,480,2,1,2,1,3,1,1,1,9300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
332,3,1100,12,2,2,2,1,2,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
335,2,450,7,1,1,1,3,2,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
337,3,1100,2,2,2,3,2,1,1,1,18000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
338,3,650,0,1,2,1,1,1,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
339,4,1050,15,2,4,3,1,1,1,1,17000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
340,3,900,0,2,2,2,3,2,1,1,15000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,1,0
342,2,500,4,1,2,1,3,1,1,1,11000.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
343,3,750,18,1,4,1,1,2,1,1,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
344,2,540,8,1,2,1,0,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
347,2,400,0,1,2,1,0,2,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
349,2,500,10,1,3,1,1,1,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
357,3,1000,4,2,1,2,0,2,1,0,12000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
361,4,1400,13,3,4,3,0,2,1,1,22000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
365,3,1000,5,1,1,2,1,1,1,0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
368,3,700,18,2,1,0,0,1,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
370,3,850,10,2,1,2,0,1,1,1,10000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
372,3,750,5,2,2,2,2,2,1,1,20000.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
374,3,650,5,1,2,1,1,2,1,0,11500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
375,1,350,4,1,1,1,3,2,1,1,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
382,3,900,8,2,1,2,1,1,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
384,3,600,18,2,1,2,0,2,1,0,20000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
385,3,850,2,2,1,2,1,2,1,0,13000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1
387,3,600,0,1,1,2,0,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
389,2,450,1,1,1,1,0,2,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
390,2,400,9,1,3,1,1,1,1,0,8000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
394,4,1200,2,2,1,3,0,1,1,1,20000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
396,1,150,22,1,1,1,2,1,1,1,9500.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
398,3,1220,0,2,1,2,1,1,1,1,30000.0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,0,0,1
401,3,600,3,2,1,2,3,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
404,3,800,8,1,4,2,1,2,1,1,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
407,3,800,0,2,2,2,0,2,1,2,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0
408,3,900,4,2,1,2,1,3,1,1,8000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
409,1,210,3,1,1,1,3,2,1,1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
414,3,900,1,1,2,2,2,1,1,1,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
415,2,400,9,1,1,1,1,1,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
416,3,1000,2,2,1,0,2,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
417,3,1200,10,2,2,1,0,1,1,0,11000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0
419,3,800,20,1,2,2,0,1,1,0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
420,3,850,2,2,2,1,0,1,1,0,25000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
422,2,700,0,1,1,2,0,2,1,0,10000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0
423,3,1000,5,2,2,2,2,2,1,1,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
424,3,1050,10,2,2,2,2,2,1,2,26000.0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
426,2,650,10,1,2,1,1,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
428,2,600,8,1,1,0,2,2,1,1,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0
437,3,900,5,1,3,2,2,2,1,1,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
439,2,600,12,1,1,1,1,2,1,0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
