,type,locality,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
52,3,Rajarajeshwari Nagar,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,1,2.0,1.0,2,1,0.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
54,2,Telecom Layout,SEMI_FURNISHED,TWO_WHEELER,225,8.0,1.0,2,1.0,2.0,1,1,1.0,8400.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0
60,3,Hosa Tippasandra,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,2,1.0,2.0,1,1,1.0,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
65,4,Banashankari,SEMI_FURNISHED,BOTH,1900,10.0,2.0,2,2.0,0.0,2,1,2.0,33000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,3
66,3,JP Nagar,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,2,1.0,2.0,1,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
68,2,Kodihalli,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,4,1.0,0.0,2,1,2.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
70,2,HAL Airport Ward,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,2,1.0,1.0,1,1,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
71,2,Marathahalli,SEMI_FURNISHED,TWO_WHEELER,400,0.0,1.0,1,1.0,2.0,2,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
73,2,Haralur,SEMI_FURNISHED,TWO_WHEELER,800,3.0,1.0,1,3.0,2.0,2,1,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
74,3,Mangammanapalya,SEMI_FURNISHED,BOTH,1150,1.0,2.0,2,1.0,0.0,3,1,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
78,2,Koramangala,NOT_FURNISHED,TWO_WHEELER,450,5.0,1.0,2,1.0,0.0,1,1,0.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
80,2,HSR Layout,SEMI_FURNISHED,TWO_WHEELER,448,5.0,1.0,1,1.0,3.0,1,1,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
81,3,Rajarajeshwari Nagar,SEMI_FURNISHED,FOUR_WHEELER,1250,5.0,2.0,1,2.0,1.0,1,1,1.0,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2
85,2,Pattanagere,SEMI_FURNISHED,BOTH,550,0.0,1.0,2,1.0,4.0,2,1,1.0,9000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
86,4,HSR Layout,SEMI_FURNISHED,BOTH,2100,8.0,3.0,2,3.0,1.0,2,1,1.0,40000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,3
88,3,AGS Layout,SEMI_FURNISHED,TWO_WHEELER,1500,16.0,2.0,2,1.0,1.0,2,1,0.0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
89,3,Dasarahalli,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,2,2.0,2.0,2,1,1.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
90,2,Hombegowda Nagara,SEMI_FURNISHED,NONE,700,1.0,1.0,3,1.0,2.0,2,1,1.0,12000.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1
95,3,Hosa Tippasandra,NOT_FURNISHED,TWO_WHEELER,600,15.0,2.0,3,0.0,0.0,2,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
96,3,ISRO Layout,NOT_FURNISHED,TWO_WHEELER,1000,15.0,2.0,2,0.0,2.0,1,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
98,2,Adugodi,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,2,1.0,2.0,1,1,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
100,3,Katriguppe,SEMI_FURNISHED,BOTH,900,15.0,2.0,4,2.0,0.0,2,1,0.0,16000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,3
103,3,Koramangala,SEMI_FURNISHED,NONE,900,15.0,1.0,1,0.0,0.0,2,1,0.0,25000.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
105,3,Hosa Tippasandra,SEMI_FURNISHED,TWO_WHEELER,1150,23.0,2.0,1,2.0,1.0,1,1,0.0,25000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
109,3,Mahadevapura,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,1,2.0,0.0,1,1,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0
110,3,Rajarajeshwari Nagar,SEMI_FURNISHED,NONE,1200,4.0,2.0,2,2.0,1.0,1,1,0.0,11000.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,1,1
116,3,Vannarpetai,SEMI_FURNISHED,TWO_WHEELER,750,8.0,1.0,1,2.0,1.0,2,1,1.0,11000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0
118,3,Haralur,SEMI_FURNISHED,BOTH,1100,3.0,2.0,2,2.0,1.0,3,1,1.0,16500.0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,2,1,3
119,5,Cox Town,SEMI_FURNISHED,NONE,2000,15.0,2.0,2,3.0,1.0,2,1,2.0,26000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
120,3,Avalahalli,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,2,2.0,0.0,2,1,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
121,3,Karisandra Ward,SEMI_FURNISHED,TWO_WHEELER,1500,5.0,1.0,1,2.0,3.0,3,1,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
122,3,Bhuvaneshwari Nagar,NOT_FURNISHED,TWO_WHEELER,950,10.0,1.0,2,2.0,2.0,2,1,1.0,12000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
124,3,Others,NOT_FURNISHED,NONE,700,1.0,1.0,2,0.0,2.0,1,1,1.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
125,3,HAL Airport Ward,SEMI_FURNISHED,TWO_WHEELER,1200,0.0,2.0,1,2.0,0.0,2,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
128,3,Hampi Nagar,SEMI_FURNISHED,NONE,750,15.0,1.0,1,1.0,1.0,1,1,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
132,3,Bellanduru,SEMI_FURNISHED,BOTH,800,10.0,2.0,2,2.0,2.0,3,1,2.0,16500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
133,3,Hagadur,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,2,2.0,0.0,1,1,0.0,14000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
138,3,Bellanduru,SEMI_FURNISHED,FOUR_WHEELER,750,0.0,2.0,2,2.0,1.0,3,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2
139,2,JP Nagar,SEMI_FURNISHED,NONE,600,4.0,1.0,1,0.0,2.0,1,1,0.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
141,4,Basavanagudi,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,1,2.0,0.0,2,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
142,1,HSR Layout,SEMI_FURNISHED,BOTH,300,0.0,1.0,2,1.0,3.0,3,1,0.0,8000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,3
143,2,Suddagunte Palya Ward,NOT_FURNISHED,FOUR_WHEELER,450,9.0,1.0,2,0.0,1.0,1,1,1.0,12000.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
144,4,Shanthi Nagar,SEMI_FURNISHED,NONE,1000,7.0,1.0,1,3.0,1.0,2,1,1.0,20000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
148,3,Vignananagar,SEMI_FURNISHED,BOTH,975,3.0,2.0,2,2.0,1.0,1,1,2.0,16000.0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,1,3
149,3,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,600,0.0,2.0,1,2.0,1.0,2,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
151,2,Madiwala,SEMI_FURNISHED,TWO_WHEELER,700,2.0,1.0,2,1.0,0.0,2,1,0.0,10500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
152,3,Yelchenahalli Ward,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,1,2.0,1.0,2,1,1.0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0
155,3,Narayanapura,SEMI_FURNISHED,TWO_WHEELER,1000,8.0,2.0,2,2.0,0.0,1,1,1.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
158,4,Ittamadu,SEMI_FURNISHED,BOTH,1350,9.0,3.0,1,3.0,2.0,2,1,0.0,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
159,3,Koramangala,NOT_FURNISHED,BOTH,1100,1.0,2.0,2,0.0,4.0,1,1,1.0,30000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3
163,2,Dodda Nekkundi,SEMI_FURNISHED,NONE,350,5.0,1.0,1,1.0,1.0,1,1,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
168,3,Others,SEMI_FURNISHED,TWO_WHEELER,600,20.0,2.0,1,2.0,1.0,2,1,0.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
170,3,JP Nagar,SEMI_FURNISHED,TWO_WHEELER,1100,15.0,2.0,4,3.0,1.0,1,1,1.0,17500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
173,3,HAL Airport Ward,SEMI_FURNISHED,BOTH,1300,4.0,2.0,4,2.0,0.0,2,1,2.0,17000.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
174,2,Haralur,SEMI_FURNISHED,TWO_WHEELER,650,5.0,1.0,1,1.0,0.0,3,1,0.0,11000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
177,3,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,800,20.0,2.0,4,2.0,0.0,2,1,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
179,3,Bommanahalli,NOT_FURNISHED,TWO_WHEELER,800,0.0,2.0,2,0.0,0.0,2,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
181,3,Rajarajeshwari Nagar,SEMI_FURNISHED,TWO_WHEELER,800,10.0,1.0,2,2.0,0.0,1,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
182,2,Maruthi Seva Nagar,NOT_FURNISHED,TWO_WHEELER,500,1.0,1.0,1,0.0,1.0,2,1,1.0,11000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0
190,2,Dodda Nekkundi,SEMI_FURNISHED,BOTH,1200,0.0,1.0,1,1.0,1.0,2,1,1.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3
193,3,JP Nagar,NOT_FURNISHED,NONE,500,5.0,1.0,4,0.0,1.0,1,1,1.0,10000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
196,3,HSR Layout,SEMI_FURNISHED,TWO_WHEELER,950,10.0,2.0,2,2.0,0.0,2,1,0.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
198,3,Bhuvaneshwari Nagar,SEMI_FURNISHED,TWO_WHEELER,1000,12.0,2.0,2,3.0,1.0,2,1,1.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0
200,2,Munekolala,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,3,1.0,2.0,2,1,0.0,10500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0
201,3,Yelchenahalli Ward,SEMI_FURNISHED,BOTH,600,9.0,3.0,1,3.0,0.0,1,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
204,3,Yediyur Ward,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,2,1.0,2.0,1,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
207,3,Ejipura,SEMI_FURNISHED,TWO_WHEELER,800,15.0,1.0,2,2.0,0.0,1,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
208,3,AGS Layout,SEMI_FURNISHED,TWO_WHEELER,700,1.0,2.0,1,1.0,1.0,2,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
210,4,Banashankari,SEMI_FURNISHED,BOTH,1200,0.0,2.0,1,3.0,3.0,2,1,1.0,25000.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,1,3
211,3,Kumaraswamy Layout,SEMI_FURNISHED,TWO_WHEELER,675,4.0,1.0,3,2.0,1.0,2,1,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
212,3,Konena Agrahara Ward,SEMI_FURNISHED,TWO_WHEELER,600,4.0,1.0,2,2.0,1.0,2,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
215,3,Bhuvaneshwari Nagar,SEMI_FURNISHED,TWO_WHEELER,1200,5.0,1.0,2,2.0,1.0,3,1,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
216,3,Mangammanapalya,SEMI_FURNISHED,TWO_WHEELER,700,0.0,2.0,2,2.0,2.0,1,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0
226,3,Dodda Nekkundi,SEMI_FURNISHED,TWO_WHEELER,1100,0.0,2.0,1,2.0,1.0,1,1,1.0,18500.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
227,3,Madiwala,SEMI_FURNISHED,TWO_WHEELER,1100,9.0,2.0,1,3.0,0.0,1,1,0.0,19500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
228,3,Vijayanagar,NOT_FURNISHED,TWO_WHEELER,500,10.0,1.0,2,0.0,0.0,1,1,0.0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
229,3,Madiwala,SEMI_FURNISHED,BOTH,600,0.0,2.0,3,2.0,3.0,2,1,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
231,3,HSR Layout,SEMI_FURNISHED,BOTH,950,4.0,2.0,2,2.0,1.0,2,1,1.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
232,3,Jaraganahalli Ward,SEMI_FURNISHED,TWO_WHEELER,750,3.0,1.0,1,0.0,1.0,1,1,1.0,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
234,2,Hoysala Nagara,NOT_FURNISHED,TWO_WHEELER,300,10.0,1.0,3,0.0,1.0,2,1,0.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
235,3,BCC Layout,SEMI_FURNISHED,FOUR_WHEELER,950,0.0,2.0,1,2.0,2.0,2,1,1.0,18000.0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,2
236,3,Puttenahalli,SEMI_FURNISHED,BOTH,1400,0.0,2.0,1,2.0,2.0,2,1,1.0,30000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3
238,1,Koramangala,SEMI_FURNISHED,TWO_WHEELER,200,6.0,1.0,1,1.0,2.0,1,1,1.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
240,3,Bellanduru,SEMI_FURNISHED,BOTH,1000,4.0,2.0,2,2.0,0.0,3,1,0.0,16500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
241,3,Jnana Bharathi,SEMI_FURNISHED,NONE,1200,0.0,2.0,2,2.0,1.0,2,1,2.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,1,1
245,4,Katriguppe,SEMI_FURNISHED,NONE,1000,0.0,2.0,2,3.0,1.0,2,1,1.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
246,2,Jayanagar,SEMI_FURNISHED,TWO_WHEELER,450,8.0,1.0,1,1.0,2.0,2,1,1.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
247,3,Ejipura,SEMI_FURNISHED,TWO_WHEELER,850,3.0,2.0,1,2.0,0.0,2,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,1,0
249,3,Jakkasandra,SEMI_FURNISHED,FOUR_WHEELER,1200,10.0,2.0,3,3.0,0.0,2,1,0.0,18000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
250,4,Gurappanapalya Ward,SEMI_FURNISHED,FOUR_WHEELER,1200,4.0,3.0,1,2.0,1.0,3,1,1.0,27000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2
253,3,C V Raman Nagar,SEMI_FURNISHED,TWO_WHEELER,800,1.0,2.0,2,1.0,1.0,2,1,1.0,17500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
254,3,GM Palya,SEMI_FURNISHED,BOTH,1250,8.0,2.0,2,3.0,0.0,2,1,1.0,18500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
256,3,HSR Layout,SEMI_FURNISHED,TWO_WHEELER,950,1.0,2.0,1,2.0,2.0,1,1,0.0,24000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
258,3,Lakkasandra,SEMI_FURNISHED,BOTH,1200,10.0,2.0,1,2.0,1.0,1,1,1.0,25000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,3
259,3,Rajarajeshwari Nagar,SEMI_FURNISHED,TWO_WHEELER,1000,0.0,2.0,2,2.0,0.0,2,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
260,3,Jayanagar,SEMI_FURNISHED,TWO_WHEELER,600,20.0,1.0,2,3.0,0.0,2,1,0.0,17000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
262,3,Dasarahalli,FULLY_FURNISHED,BOTH,1360,2.0,2.0,1,0.0,3.0,1,1,2.0,22000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,3
264,2,Madiwala,NOT_FURNISHED,BOTH,600,15.0,1.0,1,0.0,2.0,2,1,1.0,11500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
266,2,Jeevanbhima Nagar,FULLY_FURNISHED,TWO_WHEELER,200,0.0,1.0,4,1.0,2.0,2,1,1.0,12000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0
272,3,Kumaraswamy Layout,SEMI_FURNISHED,TWO_WHEELER,600,0.0,1.0,4,2.0,1.0,2,1,0.0,11500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
277,2,Srinagar,SEMI_FURNISHED,TWO_WHEELER,600,1.0,1.0,1,2.0,3.0,2,1,1.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0
279,3,Devarabeesanahalli,SEMI_FURNISHED,TWO_WHEELER,700,1.0,1.0,2,2.0,1.0,3,1,1.0,15000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
282,3,Hagadur,SEMI_FURNISHED,BOTH,950,5.0,2.0,1,1.0,2.0,2,1,1.0,17000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
285,3,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,1200,7.0,2.0,2,2.0,3.0,2,1,0.0,19000.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,1,0
288,3,Dasarahalli,SEMI_FURNISHED,BOTH,800,1.0,2.0,2,2.0,1.0,2,1,1.0,18000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,3
291,2,Puttenahalli,SEMI_FURNISHED,BOTH,700,5.0,2.0,2,1.0,1.0,2,1,0.0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
302,4,Rajarajeshwari Nagar,SEMI_FURNISHED,BOTH,1650,10.0,3.0,2,3.0,0.0,2,1,0.0,22000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
304,1,Koramangala,FULLY_FURNISHED,TWO_WHEELER,180,12.0,1.0,1,3.0,1.0,1,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,0
305,3,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,600,10.0,2.0,2,2.0,3.0,2,1,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
