type,locality,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,furnishing_encoded,parking_encoded
3,Hagadur,950,5,2,1,1,2,2,1,1,17000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,BTM Layout,1200,7,2,2,2,3,2,1,0,19000,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
2,Puttenahalli,700,5,2,2,1,1,2,1,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,Rajarajeshwari Nagar,1650,10,3,2,3,0,2,1,0,22000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
1,Koramangala,180,12,1,1,3,1,1,1,1,15000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0
3,BTM Layout,600,10,2,2,2,3,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Basavanagudi,1600,8,2,1,3,0,2,1,1,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Jakkasandra,400,0,1,2,1,2,2,1,0,11000,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,Sarvagna Nagar,950,10,2,1,2,0,2,1,0,18000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,Byrasandra Ward,1200,3,2,3,2,2,2,1,1,25000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,Deepanjali Nagar,1200,10,3,2,3,0,2,1,2,20000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,Mahadevapura,350,1,1,2,1,3,1,1,0,8000,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
3,Banashankari,700,5,2,2,2,2,1,1,0,11000,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3
2,Bhoganahalli,600,3,1,2,1,1,3,1,2,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,Deepanjali Nagar,600,1,2,1,2,2,2,1,2,8500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
2,VV Puram,480,2,1,2,1,3,1,1,1,9300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Pantarapalya,1100,12,2,2,2,1,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Halasuru,450,7,1,1,1,3,2,1,1,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Garudachara Palya,1100,2,2,2,3,2,1,1,1,18000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,Jakkasandra,650,0,1,2,1,1,1,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Vannarpetai,1050,15,2,4,3,1,1,1,1,17000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Lakkasandra,900,0,2,2,2,3,2,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
2,Jakkasandra,500,4,1,2,1,3,1,1,1,11000,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,Others,750,18,1,4,1,1,2,1,1,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Narayanapura,540,8,1,2,1,0,2,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2,Yelchenahalli Ward,400,0,1,2,1,0,2,1,0,8000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Rajajinagar,500,10,1,3,1,1,1,1,1,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Padmanabha Nagar,1000,4,2,1,2,0,2,1,0,12000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4,ISRO Layout,1400,13,3,4,3,0,2,1,1,22000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,Bommanahalli,1000,5,1,1,2,1,1,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Katriguppe,700,18,2,1,0,0,1,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Chikkalasandra,850,10,2,1,2,0,1,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,Dodda Nekkundi,750,5,2,2,2,2,2,1,1,20000,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3,Jayanagar,650,5,1,2,1,1,2,1,0,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Dodda Nekkundi,350,4,1,1,1,3,2,1,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3,Suddagunte Palya Ward,900,8,2,1,2,1,1,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,HSR Layout,850,2,2,1,2,1,2,1,0,13000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
2,Rajarajeshwari Nagar,450,1,1,1,1,0,2,1,0,8000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2,Katriguppe,400,9,1,3,1,1,1,1,0,8000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,HSR Layout,1200,2,2,1,3,0,1,1,1,20000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,Domlur,150,22,1,1,1,2,1,1,1,9500,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
3,Pattabhiram Nagar,1220,0,2,1,2,1,1,1,1,30000,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3
3,Yelchenahalli Ward,600,3,2,1,2,3,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Basaveshwaranagar,800,8,1,4,2,1,2,1,1,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Kamakshi Palya,800,0,2,2,2,0,2,1,2,12500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
3,Others,900,4,2,1,2,1,3,1,1,8000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,HSR Layout,210,3,1,1,1,3,2,1,1,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,Agaram,900,1,1,2,2,2,1,1,1,16000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Madiwala,400,9,1,1,1,1,1,1,0,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Vasanthpura Ward,1000,2,2,1,0,2,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Narayanapura,1200,10,2,2,1,0,1,1,0,11000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
3,Koramangala,800,20,1,2,2,0,1,1,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,HSR Layout,850,2,2,2,1,0,1,1,0,25000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Nayandahalli Ward,700,0,1,1,2,0,2,1,0,10000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
3,Ittamadu,1000,5,2,2,2,2,2,1,1,14000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,HSR Layout,1050,10,2,2,2,2,2,1,2,26000,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
2,Puttenahalli,650,10,1,2,1,1,2,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Agaram,600,8,1,1,0,2,2,1,1,12000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,BTM Layout,900,5,1,3,2,2,2,1,1,12500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Bhuvaneshwari Nagar,600,12,1,1,1,1,2,1,0,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2,BTM Layout,450,7,1,1,1,1,1,1,0,12000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,Vignananagar,1200,6,2,2,3,1,2,1,2,17500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
3,ISRO Layout,800,10,2,1,2,0,1,1,0,13500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,HSR Layout,900,8,2,1,3,1,1,1,1,22000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Ramagondanahalli,870,0,1,2,1,2,1,1,1,10000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,Jogupalya,480,4,1,1,1,2,2,1,1,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Avalahalli,650,0,1,2,2,0,2,1,0,12000,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3
3,Rajarajeshwari Nagar,1200,15,2,2,2,1,1,1,1,13000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Kadugodi,1000,6,1,4,2,1,2,1,0,12000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,Sunkenahalli Ward,1200,2,2,2,2,3,2,1,1,17000,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
4,HSR Layout,1300,5,2,4,3,0,1,1,0,27000,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
3,Konena Agrahara Ward,800,20,1,1,2,1,1,1,1,16000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2,Narayanapura,450,1,1,2,1,4,2,1,0,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Ejipura,700,0,1,1,0,2,2,1,0,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rajarajeshwari Nagar,1200,3,2,2,2,1,2,1,0,12000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
